Glass Type,B1,B2,B3,C1,C2,C3
S-BSM2,0.867168676,0.672848343,1.18456107,0.00369311003,0.00369311003,132.376147
S-BSM10,0.945443081,0.643237376,1.17752968,0.0157263798,0.0157263798,121.361748
S-BAL11,0.821314256,0.612586478,1.24859637,0.00351436131,0.00351436131,133.45667
S-BSM15,0.953128328,0.637613977,1.65245647,0.00387638985,0.00387638985,159.442367
S-LAL7,0.916121247,0.765948319,1.27745023,0.00395889743,0.00395889743,110.762706
BAL15Y,1.28348331,0.102800765,0.404609885,0.00790900515,0.0305971274,46.5268356
S-BSM4,0.96244308,0.595939234,1.10558352,0.00468062141,0.00468062141,115.896432
S-NSL3,0.882514764,0.389271907,1.10693448,0.00464504582,0.00464504582,136.234339
S-BAL42,1.39570615,0.071850507,1.27129267,0.0112218843,0.0112218843,134.49786
S-BAL12,0.714605258,0.621993289,1.22537681,0.00301763913,0.00301763913,143.506314
S-NSL5,1.04574577,0.239613026,1.1590685,0.0058523228,0.0058523228,131.329061
S-BSM81,0.996356844,0.651392837,1.22432622,0.0144821587,0.0144821587,89.9818604
S-BSM16,1.14490383,0.439563911,1.27688079,0.0137034916,0.0137034916,119.535585
BSM51Y,1.22393171,0.306482383,0.823950901,0.00649521083,0.0208194161,79.5168951
S-BAL41,1.243442,0.166301104,1.10586114,0.0116396708,0.0116396708,114.11122
S-BSM14,1.2828627,0.247647429,1.10383999,0.0122902399,0.0122902399,106.883378
S-BAL35,0.941357273,0.546174895,1.16168917,0.0140333996,0.0140333996,114.163758
BAL35Y,1.26231429,0.22515421,0.639119345,0.00695586355,0.0221310699,63.1662736
S-PHM52,1.0996655,0.478125422,1.13214074,0.0132718559,0.0132718559,130.595472
S-BSL7,1.1515019,0.118583612,1.26301359,0.010598413,0.010598413,129.617662
BSL7Y,1.13329383,0.136897201,0.703456004,0.00669407868,0.023739176,70.7030316
S-PHM53,1.09775423,0.434816432,1.13894976,0.01233694,0.01233694,124.276984
S-FPM2,0.761242785,0.747033375,0.938928947,0.00321174095,0.00321174095,139.52353
S-FSL5,1.17447043,0.0140056154,1.19272435,0.00841855181,0.00841855181,129.599726
S-FSL5Y,0.977409944,0.210950834,1.37142848,0.00557649364,0.0177000313,149.211443
S-FPM3,0.809407286,0.527007033,0.909127704,0.00376072389,0.0135654895,142.503612
S-FPL51Y,1.14031443,0.0771496272,1.43721957,0.00595466872,0.0223953953,274.290057
S-FPL51,1.17010505,0.0475710783,0.763832445,0.00616203924,0.00616203924,141.882642
S-FPL53,0.983532327,0.069568814,1.11409238,0.00492234955,0.00492234955,264.275294
E-FDS3,4.1120387,-0.01822767,0.089852105,0.00787144,-0.00052228008,0.00011773061
FDS18,3.563784,-0.025449644,0.058401659,0.0092310983,-0.00095499727,0.00011777456
M-FDS2,3.771581,-0.020445364,0.063942579,0.008354547,-0.00082031984,0.00010279507
E-FDS2,3.7672603,-0.017001227,0.069849634,0.0063862892,-0.00050812539,0.000084455529
E-FDS1,3.5044639,-0.020333833,0.0538027,0.0062874192,-0.00056922176,0.000073559387
M-FDS1,3.4984224,-0.01689542,0.057567078,0.0051693668,-0.0003996631,0.000062368582
FDS90,3.2606321,-0.017780398,0.040902938,0.0056076934,-0.00056434039,0.000054763391
FDS90-SG,3.2606321,-0.017780398,0.040902938,0.0056076934,-0.00056434039,0.000054763391
FDS24,3.5126327,-0.0153015,0.053936061,0.0034949369,-0.00017950295,0.000034403181
M-FDS910,3.165987,-0.01349196,0.04649918,0.002471413,-0.00008659596,0.00002725927
FF8,2.9564361,-0.019762195,0.029878823,0.0051830852,-0.00054202389,0.000048463245
TAFD40,3.8106232,-0.016351565,0.058801097,0.0034919026,-0.0001694811,0.000032569333
FD60,3.1171483,-0.011616277,0.044864975,0.0016588491,0.000025716854,0.000014757657
FD60-W,3.1171483,-0.011616277,0.044864975,0.0016588491,0.000025716854,0.000014757657
FD110,3.0534415,-0.01275181,0.040609369,0.0022706109,-0.000078086606,0.000019874026
FD140,2.9851294,-0.014237988,0.035496437,0.0028457557,-0.00019006799,0.000024309252
E-FD4,2.9673173,-0.013989565,0.03345668,0.0030717804,-0.00026682435,0.000028950241
E-FD13,2.9205906,-0.013681618,0.03256776,0.0028725519,-0.00024277107,0.000026614514
E-FD10,2.881518,-0.013228312,0.03145559,0.0026851666,-0.00022577544,0.000024693268
TAFD55,3.8317578,-0.015266397,0.054573843,0.0023109346,-0.000044476201,0.000016143887
E-FD1,2.8508499,-0.01323461,0.029415325,0.0025542666,-0.00021232133,0.000022261936
E-FD15,2.7919943,-0.012311206,0.028802741,0.0021430059,-0.00016932119,0.000019741766
M-FD80,2.761638,-0.01132633,0.02865346,0.001529038,-0.00008743577,0.00001496579
E-FD8,2.7617586,-0.011254039,0.028221737,0.0017540315,-0.00012127053,0.000015522384
TAFD25,3.4905528,-0.016325771,0.041146322,0.0027169124,-0.00018260518,0.000020641862
E-FD5,2.7135839,-0.011419719,0.026133708,0.0017576479,-0.00013307737,0.000015203351
TAFD45,3.672962,-0.0151805,0.0457187,0.002186221,-0.0000993742,0.00001490466
NBFD15,3.1540011,-0.013256753,0.034103312,0.0018472167,-0.00010807332,0.000012975901
NBFD15-W,3.1540011,-0.013256753,0.034103312,0.0018472167,-0.00010807332,0.000012975901
E-FD2,2.6399644,-0.011645718,0.023061733,0.0017348219,-0.00013986059,0.00001391667
TAFD35,3.5274747,-0.014839948,0.039745402,0.001803472,-0.000089279334,0.000011377783
FF5,2.4743324,-0.010955338,0.019293801,0.0014497732,-0.00011038744,0.000011136008
E-F2,2.5561822,-0.010237038,0.022470348,0.00084580679,-0.000033087089,0.0000071054919
M-TAFD307,3.4286062,-0.013845333,0.037363009,0.0011894554,-0.000015979979,0.0000051827398
NBFD10,3.2615573,-0.014542851,0.033470739,0.0012266479,-0.000025391842,0.0000055971739
M-NBFD10,3.264623,-0.01581977,0.03225894,0.001709312,-0.0001081957,0.00001058323
TAFD37,3.4943369,-0.013647624,0.03883317,0.0011132555,-0.000007402237,0.0000053027754
E-F5,2.5095673,-0.010862661,0.019894774,0.0010137134,-0.000062697117,0.0000075080045
BAFD8,2.8863236,-0.009802724,0.027654256,0.00089006367,-0.000036309109,0.0000076181062
NBFD3,3.1633746,-0.01327628,0.031133309,0.0008352338,0.0000029980499,0.0000025568853
M-TAFD305,3.327184,-0.01343242,0.033398,0.001006047,-0.00002136908,0.000003972561
TAFD33,3.4316955,-0.013156273,0.035631862,0.00091378109,-0.0000040366886,0.0000033867688
M-LAF81,2.9167886,-0.012398199,0.026675237,0.00065190504,0.0000046956175,0.000002691054
M-NBFD130,3.173794,-0.01498658,0.02906741,0.001204829,-0.00005355158,0.00000527135
NBFD13,3.1729223,-0.014248534,0.029168114,0.001342876,-0.000096178753,0.0000084042556
TAFD30,3.4419038,-0.014175245,0.03435104,0.0011752271,-0.000039010343,0.0000037417054
E-FL5,2.4465754,-0.010107041,0.017759132,0.00087970259,-0.000057014929,0.0000060924663
BAFD7,2.8217211,-0.0097265483,0.024345979,0.00078406305,-0.000022431497,0.0000046726029
M-TAFD51,3.227682,-0.01453816,0.0292121,0.001057062,-0.00004787162,0.000004557239
TAFD5F,3.275546,-0.014470354,0.030922062,0.00073289981,0.0000046573307,0.0000018242746
E-FL6,2.4079653,-0.011135638,0.015704715,0.00099186507,-0.000079934653,0.0000070985473
NBFD11,3.1010267,-0.010022108,0.032631687,-0.00081029268,0.0001935011,-0.0000080279799
LAF2,2.9657374,-0.0096571624,0.026024525,0.00036684641,0.000028205551,-0.00000013739929
M-TAF31,3.164358,-0.01403321,0.02767034,0.0006403025,-0.000006349234,0.000001615744
E-FEL1,2.3534484,-0.010330438,0.014097325,0.00087167875,-0.00006998197,0.0000057867359
TAF3,3.1743707,-0.014110466,0.028862637,0.00003355949,0.000080422109,-0.0000028956744
E-FEL2,2.3317983,-0.0097042192,0.014032761,0.00064822896,-0.000040813761,0.0000039064873
M-TAF401,3.07279,-0.01366385,0.02527346,0.000612182,-0.00001147045,0.000001543
NBF1,2.9753491,-0.01461347,0.021096383,0.001198038,-0.00011887388,0.000007344435
M-TAF101,3.05615,-0.0138471,0.02431126,0.0004980027,-0.000007318676,0.00000124041
M-NBF1,2.975245,-0.01425016,0.02140074,0.0009755337,-0.0000697953,0.000004114924
M-TAF1,3.070806,-0.012276924,0.02456566,0.00047436648,0.0000005432616,0.00000065976661
M-TAF105,3.0705638,-0.013310234,0.025280355,0.00021829234,0.000032555293,-0.00000081300421
TAF1,3.0736378,-0.015501284,0.023627699,0.00066300852,-0.000028353438,0.0000022090799
BACED5,2.6934245,-0.008637014,0.02049645,-0.000093205453,0.000062709747,-0.0000020834652
M-TAC60,3.017866,-0.015790934,0.021144702,0.00093137389,-0.000069379914,0.00000402762
E-CF6,2.2668912,-0.0093866212,0.012174195,0.0005076903,-0.000033573414,0.0000029059013
M-LAC130,2.813412,-0.01332448,0.01927865,0.0004124452,-0.000009940432,0.0000009622024
M-LAC8,2.8817481,-0.015730804,0.017690493,0.001052669,-0.00009909308,0.0000055248378
LAC8,2.8778537,-0.013832906,0.020301185,0.00027759871,0.000005905983,0.00000017747647
M-TAC80,2.9351948,-0.016193458,0.018392287,0.0010086167,-0.000087565474,0.0000046921333
TAC8,2.9324178,-0.014603156,0.021121636,0.000048240144,0.000049669475,-0.0000024904491
BACD18,2.6365277,-0.0097558464,0.017143665,0.00022592497,0.0000030855342,0.00000045831917
LAC14,2.8255229,-0.013632902,0.019791402,0.000015032564,0.000040761368,-0.0000017527267
M-LAC14,2.8278386,-0.014773939,0.018211733,0.00049311964,-0.000025486886,0.0000016795487
BAC4,2.4196645,-0.0083329314,0.01539739,-0.00017391654,0.00006218322,-0.000003062131
M-BACD15,2.590919,-0.01259476,0.01520205,0.000299998,-0.00001131547,0.000000915464
E-C3,2.2725452,-0.008410491,0.011306843,0.00037782297,-0.000026903423,0.0000015976489
M-BACD12,2.468781,-0.01062639,0.01325184,0.0004048612,-0.00002974799,0.000001825884
BACD16,2.5859898,-0.011940432,0.013995502,0.00048974502,-0.000039120717,0.0000022611915
BACD14,2.5335256,-0.011903338,0.012257249,0.00079172149,-0.000077381829,0.0000039935441
M-BACD5N,2.48951,-0.01224496,0.01294262,0.0003490449,-0.00001777228,0.0000009113719
BACD5,2.4861499,-0.0095684845,0.014685059,-0.00011216487,0.000041978777,-0.000001885619
PCD4,2.5807045,-0.010957538,0.01268943,0.00066387812,-0.000064849664,0.0000034787863
M-PCD4,2.582335,-0.009952039,0.01329184,0.0004550621,-0.00003327132,0.000001730172
BSC7,2.2702566,-0.0091988101,0.011609706,-0.000076123911,0.000028558727,-0.0000012566486
PCD51,2.5046638,-0.010149448,0.012653769,0.00016566642,0.00000053871747,0.00000005584093
FCD505,2.502355,-0.0072080042,0.012012743,0.00034920842,-0.000024729676,0.0000013801567
FCD515,2.502355,-0.0072080042,0.012012743,0.00034920842,-0.000024729676,0.0000013801567
FC5,2.1894054,-0.0099044908,0.008640337,0.00022263067,-0.000012291942,0.00000059386349
M-FCD500,2.3841554,-0.0078084423,0.0097130883,0.00049959889,-0.000047303224,0.0000023205441
FCD1,2.2181132,-0.005799427,0.0083470679,0.000065046523,0.0000085142186,-0.00000058852269
M-FCD1,2.2189068,-0.0061707065,0.0080887631,0.00013357782,0.00000019476186,-0.00000022577804
FCD100,2.0482157,-0.0043211222,0.0061826755,0.00003141148,0.0000035370793,-0.00000016694497
